날짜,변경내용,테스트 입력,처리시간(ms)
10/1,sse로 수정,김피터_포트폴리오.pdf,24623ms
10/1,sse로 수정,김피터_포트폴리오.pdf,24623ms → 24774ms
10/1,sse로 수정,김피터_포트폴리오.pdf,24774ms → 22712ms
10/1,sse로 수정,김피터_포트폴리오.pdf,22712ms → 20187ms
10/1,sse로 수정,김피터_포트폴리오.pdf,20187ms → 24237ms
10/1,프롬프트 수정(토큰306->167ver),김피터_포트폴리오.pdf,24237ms → 20370ms
10/1,프롬프트 수정(토큰306->167ver),김피터_포트폴리오.pdf,20370ms → 16221ms
10/1,프롬프트 수정(토큰306->167ver),김피터_포트폴리오.pdf,16221ms → 19981ms
10/1,프롬프트 수정(토큰306->167ver),김피터_포트폴리오.pdf,19981ms → 15138ms
10/1,프롬프트 수정(토큰306->167ver),김피터_포트폴리오.pdf,15138ms → 19181ms
10/1,프롬프트 수정(토큰306->167ver),2 files(453kb),27514ms
10/1,프롬프트 수정(토큰306->167ver),2 files,27514ms → 23047ms
10/1,프롬프트 수정(토큰306->167ver),2 files,23047ms → 29091ms
10/1,프롬프트 수정(토큰306->167ver),2 files,29091ms → 24880ms
10/1,프롬프트 수정(토큰306->167ver),2 files,24880ms → 23587ms
10/1,sse로 수정,2 files,23587ms → 26546ms
10/1,sse로 수정,2 files,26546ms → 26995ms
10/1,sse로 수정,2 files,26995ms → 38285ms
10/1,sse로 수정,2 files,38285ms → 29530ms
10/1,sse로 수정,2 files,29530ms → 28078ms
10/1,구조화 출력 강제(토큰167->122ver),김피터_포트폴리오.pdf,19810ms
10/2,구조화 출력 강제(토큰167->122ver),김피터_포트폴리오.pdf,19810ms → 21681ms
10/2,구조화 출력 강제(토큰167->122ver),김피터_포트폴리오.pdf,21681ms → 21863ms
10/2,구조화 출력 강제(토큰167->122ver),김피터_포트폴리오.pdf,21863ms → 19984ms
10/2,구조화 출력 강제(토큰167->122ver),김피터_포트폴리오.pdf,19984ms → 20360ms
10/2,구조화 출력 강제(토큰167->122ver),2 files,14768ms
10/2,구조화 출력 강제(토큰167->122ver),2 files,14768ms → 19292ms
10/2,구조화 출력 강제(토큰167->122ver),2 files,19292ms → 23109ms
10/2,구조화 출력 강제(토큰167->122ver),2 files,23109ms → 25029ms
10/2,구조화 출력 강제(토큰167->122ver),2 files,25029ms → 21604ms
10/2,구조화 출력 강제(토큰167->122ver),김피터_포트폴리오.pdf,20360ms → 17639ms
